,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
29,NVDA260220P00195000,2026-01-16 20:34:44+00:00,195.0,12.64,12.8,12.9,0.24000072,1.9354899,367.0,12908,0.3288641333007812,True,REGULAR,USD
30,NVDA260220P00200000,2026-01-16 20:54:53+00:00,200.0,15.45,16.25,16.45,-0.6999998,-4.334364,190.0,9307,0.32227240234374993,True,REGULAR,USD
31,NVDA260220P00210000,2026-01-16 18:45:17+00:00,210.0,22.72,24.35,24.75,-1.6800003,-6.8852468,16.0,5280,0.3122627368164062,True,REGULAR,USD
32,NVDA260220P00220000,2026-01-16 19:13:21+00:00,220.0,32.11,33.45,34.45,-0.5,-1.5332719,14.0,2098,0.36157864990234373,True,REGULAR,USD
33,NVDA260220P00230000,2026-01-14 19:42:07+00:00,230.0,41.92,43.4,44.25,-6.1800003,-12.848234,150.0,90,0.4030821411132813,True,REGULAR,USD
34,NVDA260220P00240000,2026-01-15 20:20:05+00:00,240.0,52.3,53.0,54.75,0.0,0.0,1.0,0,0.5385788330078126,True,REGULAR,USD
35,NVDA260220P00250000,2026-01-15 20:53:00+00:00,250.0,62.75,63.0,64.65,0.0,0.0,8.0,5,0.5891154370117189,True,REGULAR,USD
36,NVDA260220P00260000,2026-01-15 20:53:00+00:00,260.0,72.77,73.0,74.75,0.0,0.0,7.0,0,0.6626010302734376,True,REGULAR,USD
37,NVDA260220P00270000,2025-12-19 20:40:11+00:00,270.0,89.53,83.0,84.65,0.0,0.0,1.0,0,0.7041045214843751,True,REGULAR,USD
38,NVDA260220P00280000,2026-01-15 20:47:34+00:00,280.0,92.6,93.0,94.45,0.0,0.0,1.0,3,0.7221707470703125,True,REGULAR,USD
39,NVDA260220P00290000,2026-01-15 20:47:34+00:00,290.0,102.6,103.0,104.75,0.0,0.0,1.0,0,0.5908244042968751,True,REGULAR,USD
40,NVDA260220P00300000,2025-11-03 15:29:07+00:00,300.0,92.5,111.6,113.45,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
41,NVDA260220P00310000,2025-10-29 14:45:17+00:00,310.0,100.4,127.6,129.55,0.0,0.0,35.0,0,1.3106723919677732,True,REGULAR,USD
42,NVDA260220P00320000,2025-11-03 15:33:21+00:00,320.0,112.1,131.6,133.45,0.0,0.0,33.0,0,1.0000000000000003e-05,True,REGULAR,USD
43,NVDA260220P00330000,2025-11-03 14:47:26+00:00,330.0,121.68,141.95,143.4,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD
44,NVDA260220P00340000,2025-10-29 13:52:06+00:00,340.0,129.56,157.6,159.55,0.0,0.0,,0,1.4641140075683592,True,REGULAR,USD
