,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
13,NVDA260220C00115000,2026-01-16 20:19:46+00:00,115.0,73.21,71.3,72.45,-0.98000336,-1.3209372,115,557,0.8886729882812499,True,REGULAR,USD
14,NVDA260220C00120000,2026-01-16 17:04:38+00:00,120.0,68.59,66.0,67.45,1.3399963,1.9925597,45,2655,0.7817404638671875,True,REGULAR,USD
15,NVDA260220C00125000,2026-01-16 19:26:41+00:00,125.0,63.0,61.25,62.3,-1.9400024,-2.9873767,26,429,0.7319362744140624,True,REGULAR,USD
16,NVDA260220C00130000,2026-01-16 19:43:11+00:00,130.0,57.98,56.3,57.4,-0.8100014,-1.3777876,250,1573,0.6870148486328126,True,REGULAR,USD
17,NVDA260220C00135000,2026-01-16 20:54:25+00:00,135.0,52.89,51.4,52.55,-0.25,-0.4704554,41,2897,0.65039412109375,True,REGULAR,USD
18,NVDA260220C00140000,2026-01-16 20:33:48+00:00,140.0,48.47,46.8,47.6,0.4300003,0.8950881,195,2185,0.6252478881835939,True,REGULAR,USD
19,NVDA260220C00145000,2026-01-16 19:42:59+00:00,145.0,43.8,41.65,42.7,0.54999924,1.2716745,67,1000,0.559574716796875,True,REGULAR,USD
20,NVDA260220C00150000,2026-01-16 20:57:12+00:00,150.0,37.62,36.95,37.5,-0.83000183,-2.1586523,271,4930,0.5053760400390624,True,REGULAR,USD
21,NVDA260220C00155000,2026-01-16 20:36:56+00:00,155.0,34.1,32.1,33.05,-0.11000061,-0.32154518,108,2004,0.5280808911132813,True,REGULAR,USD
22,NVDA260220C00160000,2026-01-16 20:59:53+00:00,160.0,27.97,27.85,28.05,-0.7800007,-2.7130458,515,5885,0.46143116699218756,True,REGULAR,USD
23,NVDA260220C00165000,2026-01-16 20:56:14+00:00,165.0,23.75,23.45,23.65,-0.21999931,-0.91781116,216,4068,0.4379939013671875,True,REGULAR,USD
24,NVDA260220C00170000,2026-01-16 20:56:04+00:00,170.0,19.75,19.3,19.45,-0.2800007,-1.3979065,733,8814,0.41547215393066406,True,REGULAR,USD
25,NVDA260220C00175000,2026-01-16 20:58:23+00:00,175.0,15.67,15.45,15.65,-0.62999916,-3.8650255,763,12308,0.4007628283691406,True,REGULAR,USD
26,NVDA260220C00180000,2026-01-16 20:48:26+00:00,180.0,12.35,12.1,12.15,-0.48999977,-3.8161974,1469,57928,0.38403936279296874,True,REGULAR,USD
27,NVDA260220C00185000,2026-01-16 20:59:53+00:00,185.0,9.1,9.1,9.15,-0.6700001,-6.857728,5993,38959,0.37177141906738287,True,REGULAR,USD
28,NVDA260220C00190000,2026-01-16 20:59:47+00:00,190.0,6.6,6.55,6.65,-0.5999999,-8.333332,16288,55380,0.3617007189941406,False,REGULAR,USD
29,NVDA260220C00195000,2026-01-16 20:59:45+00:00,195.0,4.6,4.6,4.65,-0.5100002,-9.980435,5122,36801,0.3530338134765625,False,REGULAR,USD
30,NVDA260220C00200000,2026-01-16 20:59:55+00:00,200.0,3.1,3.05,3.15,-0.45000005,-12.676057,18340,93167,0.34717449707031245,False,REGULAR,USD
31,NVDA260220C00210000,2026-01-16 20:59:43+00:00,210.0,1.31,1.3,1.32,-0.25,-16.025642,10381,87079,0.3403386279296875,False,REGULAR,USD
32,NVDA260220C00220000,2026-01-16 20:59:43+00:00,220.0,0.56,0.55,0.56,-0.120000005,-17.647058,6483,113740,0.3461979443359374,False,REGULAR,USD
33,NVDA260220C00230000,2026-01-16 20:59:43+00:00,230.0,0.27,0.27,0.28,-0.03999999,-12.903222,2285,33059,0.36475244628906256,False,REGULAR,USD
34,NVDA260220C00240000,2026-01-16 20:16:02+00:00,240.0,0.14,0.15,0.16,-0.019999996,-12.499998,1110,28137,0.3881897119140625,False,REGULAR,USD
35,NVDA260220C00250000,2026-01-16 20:55:37+00:00,250.0,0.09,0.09,0.1,-0.009999998,-9.999998,571,26155,0.41309180664062495,False,REGULAR,USD
36,NVDA260220C00260000,2026-01-16 20:49:09+00:00,260.0,0.07,0.06,0.07,0.0,0.0,253,28774,0.43945873046875,False,REGULAR,USD
37,NVDA260220C00270000,2026-01-16 19:58:19+00:00,270.0,0.05,0.04,0.05,0.010000002,25.000006,19,8248,0.46484910156250003,False,REGULAR,USD
38,NVDA260220C00280000,2026-01-16 20:25:11+00:00,280.0,0.04,0.03,0.04,0.01,33.333336,180,4595,0.49219257812500006,False,REGULAR,USD
39,NVDA260220C00290000,2026-01-16 19:57:20+00:00,290.0,0.03,0.02,0.03,0.01,50.0,71,3031,0.5039112109375,False,REGULAR,USD
40,NVDA260220C00300000,2026-01-16 17:10:29+00:00,300.0,0.02,0.02,0.03,0.0,0.0,280,6182,0.5390671093750001,False,REGULAR,USD
41,NVDA260220C00310000,2026-01-16 20:19:57+00:00,310.0,0.02,0.01,0.03,0.01,100.0,306,36953,0.5625043750000001,False,REGULAR,USD
42,NVDA260220C00320000,2026-01-16 20:19:57+00:00,320.0,0.02,0.01,0.02,0.01,100.0,323,10641,0.57812921875,False,REGULAR,USD
43,NVDA260220C00330000,2026-01-16 14:39:48+00:00,330.0,0.01,0.0,0.02,-0.01,-50.0,1,2049,0.585941640625,False,REGULAR,USD
44,NVDA260220C00340000,2026-01-16 19:19:51+00:00,340.0,0.01,0.0,0.02,0.0,0.0,62,1858,0.6093789062500001,False,REGULAR,USD
45,NVDA260220C00350000,2026-01-13 17:04:13+00:00,350.0,0.01,0.0,0.02,0.0,0.0,14,7786,0.64062859375,False,REGULAR,USD
46,NVDA260220C00360000,2026-01-13 19:28:51+00:00,360.0,0.01,0.0,0.01,0.0,0.0,4,5063,0.6250037500000001,False,REGULAR,USD
47,NVDA260220C00380000,2026-01-15 20:20:43+00:00,380.0,0.01,0.0,0.01,0.0,0.0,12,2824,0.6875031250000001,False,REGULAR,USD
48,NVDA260220C00390000,2026-01-15 20:24:05+00:00,390.0,0.01,0.0,0.01,0.0,0.0,16,2569,0.70312796875,False,REGULAR,USD
49,NVDA260220C00400000,2026-01-16 15:22:08+00:00,400.0,0.01,0.0,0.01,-0.02,-66.66667,6,2940,0.7187528125,False,REGULAR,USD
50,NVDA260220C00410000,2026-01-06 16:49:41+00:00,410.0,0.01,0.0,0.01,0.0,0.0,20,4545,0.7500025,False,REGULAR,USD
51,NVDA260220C00420000,2026-01-16 15:06:48+00:00,420.0,0.01,0.0,0.01,0.0,0.0,1,14588,0.7656273437500001,False,REGULAR,USD
